SHGRR_Gaiastat_Tool,,,,,
GrrConfig,GRR Stdev----->,GRR Limit----->,Upper ERS----->,Lower ERS----->,Unit----->
----- [Sherlock],NA,NA,NA,NA,NA
PROX::MOD_HUDSON_IMX_36MA,3,0.6,3,0.01,nA
PROX::MOD_LESTRADE_IMX_36MA,3,0.6,3,0.01,nA
PROX::MOD_HUDSON_GC_0MM_36MA_MEAN,3,3.07,67.9,6.5,nA
PROX::MOD_HUDSON_GC_1P5MM_36MA_MEAN,3,15.49,260.7,51,nA
PROX::MOD_HUDSON_GC_4MM_36MA_MEAN,3,6.07,103.9,21.4,nA
PROX::MOD_LESTRADE_GC_0MM_36MA_MEAN,3,5.975,132.6,13.1,nA
Proximity_LED1_Near_20mA_nA,3,37.35,574.9,133.6,nA
Proximity_LED1_Far_20mA_nA,3,14.7,228.6,58.2,nA
PROX::MOD_HUDSON_ST_0MM_36MA_MEAN,3,13.39,218.9,49.7,nA
PROX::MOD_HUDSON_ST_1P5MM_36MA_MEAN,3,12.76,209.5,48.3,nA
PROX::MOD_HUDSON_ST_4MM_36MA_MEAN,3,6.27,96.8,19.2,nA
PROX::MOD_LESTRADE_ST_0MM_36MA_MEAN,3,66.44,1098.1,307.5,nA
PROX::MOD_LESTRADE_ST_1P5MM_36MA_MEAN,3,51.81,854.4,238.3,nA
Proximity_LED1_FarSpecial_20mA_nA,3,5,391.8,105.8,nA
PROX::MOD_HUDSON_XT_36MA,3,3.597,11,0.01,nA
PROX::MOD_LESTRADE_XT_36MA,3,7.197,22,0.01,nA
PROX::MOD_HUDSON_SD_GC_0MM_36MA,3,9.4,60.4,5.3,nA
Proxmity_LED2_Near_20mA_nA,3,12.83,258.4,50.2,nA
PROX::MOD_HUDSON_SD_GC_4MM_36MA,3,4.97,101.7,20.6,nA
PROX::MOD_LESTRADE_SD_GC_0MM_36MA,3,19.404,130,11.9,nA
PROX::MOD_LESTRADE_SD_GC_1P5MM_36MA,3,31.03,572.2,132.3,nA
PROX::MOD_LESTRADE_SD_GC_4MM_36MA,3,13.376,225.9,56.8,nA
Proxmity_LED2_Close_20mA_nA,3,11.09,217.2,49.1,nA
PROX::MOD_HUDSON_SD_ST_1P5MM_36MA,3,10.56,207.3,47.5,nA
Proxmity_LED2_Far_20mA_nA,3,5.15,94.7,18.4,nA
PROX::MOD_LESTRADE_SD_ST_0MM_36MA,3,55.27,1095.4,306.2,nA
PROX::MOD_LESTRADE_SD_ST_1P5MM_36MA,3,51.696,851.7,236.9,nA
PROX::MOD_LESTRADE_SD_ST_4MM_36MA,3,20.41,389.1,104.4,nA
PROX::MOD_GC_DWR_0MM_36MA,3,1.425,10,0.3,
PROX::MOD_GC_DWR_1P5MM_36MA,3,0.72,10,0.5,
PROX::MOD_GC_DWR_4MM_36MA,3,1.08,10,0.5,
PROX::MOD_ST_DWR_0MM_CAL_36MA,3,0.326,3.13,1.5,
PROX::MOD_ST_DWR_1P5MM_CAL_36MA,3,0.114,2.2,1.63,
PROX::MOD_ST_DWR_4MM_CAL_36MA,3,0.154,2.46,1.65,
PROX::MOD_HUDSON_SPR_GC_4MM_36MA,3,6.48,62,26,
PROX::MOD_LESTRADE_SPR_GC_4MM_36MA,3,6.48,62,26,
LIVT::MOD_HUDSON_LAMBDA_C_36MA,3,8.9,1510,1421,nm
LIVT::MOD_LESTRADE_LAMBDA_C_36MA,3,4,1083,1043,nm
LIVT::MOD_HUDSON_LAMBDA_FWHM_36MA,3,5.4,135,86,nm
LIVT::MOD_LESTRADE_LAMBDA_FWHM_36MA,3,3.1,67,34,nm
LIVT::MOD_HUDSON_PO_30MA,3,0.07,1.49,0.45,mW
LIVT::MOD_HUDSON_PO_36MA,3,0.081,1.71,0.51,mW
LIVT::MOD_LESTRADE_PO_30MA,3,0.208,4.3,2.02,mW
LIVT::MOD_LESTRADE_PO_36MA,3,0.25,5.16,2.42,mW
LIVT::MOD_HUDSON_VF_30MA,3,0.051,1.29,0.78,V
LIVT::MOD_HUDSON_VF_36MA,3,0.053,1.33,0.8,V
LIVT::MOD_LESTRADE_VF_30MA,3,0.02,1.35,1.12,V
LED1_Vf_20mA_V,3,0.025,1.39,1.14,V
LIVT::MOD_HUDSON_IR,3,2.6104,0.104,-26,nA
LIVT::MOD_HUDSON_IR_10V,3,11.2104,0.104,-112,nA
LED0_Ir_20mA_nA,3,2.6104,0.104,-26,nA
LIVT::MOD_LESTRADE_IR_10V,3,11.2104,0.104,-112,nA
LED_JunctionVoltage_V,3,0.02,1.05,0.6,V
LIVT::MOD_LESTRADE_Vj,3,0.04,1.2,0.9,V
LIVT::MOD_WATSON_VF_50UA,3,0.008,0.43,0.35,V
LIVT::MOD_WATSON_VF_200UA,3,0.01,0.49,0.39,V
PD_Vf_10mA_V,3,0.017,0.66,0.49,V
LIVT::MOD_WATSON_ID,3,0.08,0.8,-0.104,nA
MRRT::MOD_WATSON_VF_200UA,3,0.01,0.49,0.39,V
MRRT::MOD_WATSON_RS_940NM,3,0.00499,0.05,0.0001,A/W
MRRT::MOD_WATSON_RS_1065NM,3,0.038,0.88,0.5,A/W
MRRT::MOD_WATSON_RS_1200NM,3,0.00499,0.05,0.0001,A/W
MRRT::MOD_WATSON_RS_1465NM,3,0.042,1.2,0.76,A/W
LED1_Vf_NearSpecial_20mA_V,3,0.004,,,V
