SampleGeneratedData,,,,,,,,,,,,,,,,,
SerialNumber,Test Pass/Fail Status,errCode,TesterID,timeStamp,SOCKET,Vf_LED0_10mA_V,Vf_LED0_20mA_V,Vf_LED1_20mA_V,Vf_LED2_20mA_V,LED0_Ir_20mA_nA,Vj_LED0_20mA_V,NearFieldTest_LED0_5mA_nA,NearFieldTest_LED0_20mA_nA,NearFieldTest_LED1_20mA_nA,NearFieldTest_LED2_Near_20mA_nA,FarFieldTest_LED1_20mA_nA,FarFieldTest_LED2_20mA_nA
Upper Limit ----->,,,,,,0.66,1.43,1.49,0.59,0.104,1.05,90,220,400,260,400,200
Lower Limit ----->,,,,,,0.49,0.75,1.09,0.34,-30,0.6,20,60,200,54,95,55
Measurement Unit ----->,,,,,,V,V,V,V,nA,V,nA,nA,nA,nA,nA,nA
GF61512N02RKP9349,PASS,0,A1_golden,660842194.2,A1,0.5786,0.91,1.2144,0.441,-0.0397,0.7791,60.187,143.3257,271.4859,171.7552,191.7899,104.9033
GF61512N02RKP9349,PASS,0,A1_golden,660842252,A1,0.5777,0.9094,1.2125,0.4403,-0.033,0.7797,59.8751,142.816,272.3523,171.765,191.5054,104.7886
GF61512N02RKP9349,PASS,0,A1_golden,660842311,A1,0.5774,0.9094,1.2136,0.44,-0.0246,0.7789,59.6433,142.9642,271.9701,171.9327,191.5301,104.7185
4K12P2F0P5933NG96,PASS,0,A1_golden,660842383.8,A1,0.5772,0.9122,1.2124,0.4398,-0.0383,0.778,59.5046,144.0241,277.9329,171.25,194.9693,106.5978
4K12P2F0P5933NG96,PASS,0,A1_golden,660842441.6,A1,0.5769,0.9093,1.2119,0.4397,-0.0276,0.7784,59.4477,143.8053,278.2132,171.1939,194.8827,106.5087
4K12P2F0P5933NG96,PASS,0,A1_golden,660842499.6,A1,0.5769,0.9147,1.2118,0.4396,-0.0315,0.7784,59.559,143.931,278.2641,171.153,194.9074,106.617
CPGKG64239392N105,PASS,0,A1_golden,660842572.5,A1,0.5785,0.9147,1.2117,0.4408,-0.0227,0.7805,59.0769,141.4738,270.0589,168.3118,190.6146,104.228
CPGKG64239392N105,PASS,0,A1_golden,660842630.1,A1,0.5783,0.9142,1.2117,0.4407,-0.0272,0.7799,59.182,141.6444,270.1354,168.3805,190.6641,104.2662
CPGKG64239392N105,PASS,0,A1_golden,660842687.4,A1,0.5783,0.9138,1.2088,0.4407,-0.0213,0.778,59.0299,141.2354,270.2373,168.5712,190.5652,104.2917
9522N3G04P6389KL1,PASS,0,A1_golden,660842759.6,A1,0.577,0.9131,1.211,0.4395,-0.0389,0.7787,59.9132,143.8537,270.1608,171.5539,190.6889,104.3363
9522N3G04P6389KL1,PASS,0,A1_golden,660842818.2,A1,0.5769,0.9129,1.2079,0.4394,-0.0301,0.7785,60.0316,143.6927,270.2628,170.9029,190.9115,104.4191
9522N3G04P6389KL1,PASS,0,A1_golden,660842876.4,A1,0.5768,0.9131,1.2116,0.4394,-0.0323,0.7785,60.1597,143.8987,270.0844,170.6757,190.7507,104.3936
6N5Q93P9044G2K123,PASS,0,A1_golden,660842949.4,A1,0.5764,0.9144,1.2101,0.439,-0.0396,0.7769,60.178,143.7985,270.7215,172.6846,190.2435,104.1579
6N5Q93P9044G2K123,PASS,0,A1_golden,660843007.5,A1,0.5763,0.9142,1.2106,0.4389,-0.0338,0.7789,60.1745,144.1307,270.7724,172.9483,190.3425,104.2726
